text,tactic
"file path exclusions adversaries may attempt to hide their file based artifacts by writing them to specific folders or file names excluded from antivirus av scanning and other defensive capabilities av and other file based scanners often include exclusions to optimize performance as well as ease installation and legitimate use of applications these exclusions may be contextual e g , scans are only initiated in response to specific triggering events alerts , but are also often hardcoded strings referencing specific folders and or files assumed to be trusted and legitimate citation: microsoft file folder exclu linux macos windows",defense-evasion
"linux and mac permissions adversaries may modify file or directory permissions attributes to evade access control lists acls and access protected files citation: hybrid analysis icacls1 june 2018 citation: hybrid analysis icacls2 may 2018 file and directory permissions are commonly managed by acls configured by the file or directory owner, or users with the appropriate permissions file and directory acl implementations vary by platform, but generally explicitly designate which users or groups can perform which actions read, write, execute, etc most linux and linux based platforms provide a standard set of pe linux macos",defense-evasion
"password guessing adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts without knowledge of the password for an account, an adversary may opt to systematically guess the password using a repetitive or iterative mechanism an adversary may guess login credentials without prior knowledge of system or environment passwords during an operation by using a list of common passwords password guessing may or may not take into account the target's policies on password complexity or use policies that may lock accounts out after a containers esxi iaas identity provider linux macos network devices office suite saas windows",credential-access
"pubprn adversaries may use pubprn to proxy execution of malicious remote files pubprn vbs is a visual basic script that publishes a printer to active directory domain services the script may be signed by microsoft and is commonly executed through the windows command shell via <code>cscript exe< code> for example, the following code publishes a printer within the specified domain: <code>cscript pubprn printer1 ldap: cn=container1,dc=domain1,dc=com< code> citation: pubprn adversaries may abuse pubpr windows",defense-evasion
"purchase technical data adversaries may purchase technical information about victims that can be used during targeting information about victims may be available for purchase within reputable private sources and databases, such as paid subscriptions to feeds of scan databases or other data aggregation services adversaries may also purchase information from less reputable sources such as dark web or cybercrime blackmarkets adversaries may purchase information about their already identified targets, or use purchased data to discover opportunities for successful breaches threat actors may gather various technical d pre",reconnaissance
"os credential dumping adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password credentials can be obtained from os caches, memory, or structures citation: brining mimikatz to unix credentials can then be used to perform lateral movement and access restricted information several of the tools mentioned in associated sub techniques may be used by both adversaries and professional security testers additional custom tools likely exist as well linux macos windows",credential-access
"shared modules adversaries may execute malicious payloads via loading shared modules shared modules are executable files that are loaded into processes to provide access to reusable code, such as specific custom functions or invoking os api functions i e , native api adversaries may use this functionality as a way to execute arbitrary payloads on a victim system for example, adversaries can modularize functionality of their malware into shared objects that perform various functions such as managing c2 network communications or execution of specific actions o linux macos windows",execution
"data from configuration repository adversaries may collect data related to managed devices from configuration repositories configuration repositories are used by management systems in order to configure, manage, and control data on remote systems configuration repositories may also facilitate remote access and administration of devices adversaries may target these repositories in order to collect large quantities of sensitive system administration data data from configuration repositories may be exposed by various protocols and software and can store a wide variety of data, much of which may align with adversary discovery network devices",collection
disk structure wipe adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources adversaries may attempt to render the system unable to boot by overwriting critical data located in structures such as the master boot record mbr or partition table citation: symantec shamoon 2012 citation: fireeye shamoon nov 2016 citation: palo alto shamoon nov 2016 citation: kaspersky stonedrill 2017 citation: unit 42 shamoon3 2018 the data contained in di linux macos network devices windows,impact
direct network flood adversaries may attempt to cause a denial of service dos by directly sending a high volume of network traffic to a target this dos attack may also reduce the availability and functionality of the targeted system s and network direct network flood are when one or more systems are used to send a high volume of network packets towards the targeted service's network almost any network protocol may be used for flooding stateless protocols such as udp or icmp are commonly used but stateful protocols such as tcp can be used as well botnets ar windows iaas linux macos,impact
"path interception by path environment variable adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries the path environment variable contains a list of directories user and system that the os searches sequentially through in search of the binary that was called from a script or the command line adversaries can place a malicious program in an earlier entry in the list of directories stored in the path environment variable, resulting in the operating system executing the malicious binary rather than the legitimate binary when it searches sequentially through that path listing for linux macos windows",defense-evasion+execution
"sharepoint adversaries may leverage the sharepoint repository as a source to mine valuable information sharepoint will often contain useful information for an adversary to learn about the structure and functionality of the internal network and systems for example, the following is a list of example information that may hold potential value to an adversary and may also be found on sharepoint: * policies, procedures, and standards * physical logical network diagrams * system architecture diagrams * technical system documentation * testing development credentials i e , unsecured credentials https: office suite windows",collection
"direct volume access adversaries may directly access a volume to bypass file access controls and file system monitoring windows allows programs to have direct access to logical volumes programs with direct access may read and write files directly from the drive by analyzing file system data structures this technique may bypass windows file access controls as well as file system monitoring tools citation: hakobyan 2009 utilities, such as , exist to perform these actions in powershell citation: github powersploit ninjacopy adversaries may also use built in or third party utilities such as `vssadm network devices windows",defense-evasion
"artificial intelligence adversaries may obtain access to generative artificial intelligence tools, such as large language models llms , to aid various techniques during targeting these tools may be used to inform, bolster, and enable a variety of malicious tasks, including conducting reconnaissance creating basic scripts, assisting social engineering, and even developing payloads citation: msft ai for example, by utilizing a publicly available llm an adversary is essentially outsourcing or automating certain tasks to the tool using ai, the adversary may draft and gen pre",resource-development
"modify cloud resource hierarchy adversaries may attempt to modify hierarchical structures in infrastructure as a service iaas environments in order to evade defenses iaas environments often group resources into a hierarchy, enabling improved resource management and application of policies to relevant groups hierarchical structures differ among cloud providers for example, in aws environments, multiple accounts can be grouped under a single organization, while in azure environments, multiple subscriptions can be grouped under a single management group citation: aws organizations citation: microsoft azure resources iaas",defense-evasion
"email hiding rules adversaries may use email rules to hide inbound emails in a compromised user's mailbox many email clients allow users to create inbox rules for various email functions, including moving emails to other folders, marking emails as read, or deleting emails rules may be created or modified within email clients or through external features such as the <code>new inboxrule< code> or <code>set inboxrule< code> powershell cmdlets on windows systems citation: microsoft inbox rules citation: macos email rules citation: microsoft new inboxrule citatio windows linux macos office suite",defense-evasion
"external defacement an adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users external defacement may ultimately cause users to distrust the systems and to question discredit the system’s integrity externally facing websites are a common victim of defacement; often targeted by adversary and hacktivist groups in order to push a political message or spread propaganda citation: fireeye cyber threats to media industries citation: kevin mandia statement to us senate commi windows iaas linux macos",impact
"encrypted encoded file adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection encrypting and or encoding file content aims to conceal malicious artifacts within a file used in an intrusion many other techniques, such as software packing steganography and embedded payloads share this same broad objective encrypting and or encoding files could lead to a lapse in detection of static signatures, only for this linux macos windows",defense-evasion
"ip addresses adversaries may gather the victim's ip addresses that can be used during targeting public ip addresses may be allocated to organizations by block, or a range of sequential addresses information about assigned ip addresses may include a variety of details, such as which ip addresses are in use ip addresses may also enable an adversary to derive other details about a victim, such as organizational size, physical location s , internet service provider, and or where how their publicly facing infrastructure is hosted adversaries may gather this information in various ways, such as direct colle pre",reconnaissance
"os exhaustion flood adversaries may launch a denial of service dos attack targeting an endpoint's operating system os a system's os is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity these attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an os self imposes different ways to achieve this exist, including tcp state exhaustion attacks such as syn floods and ack floods citation: arbor annualdosreport jan 2018 with syn floods, linux macos windows",impact
"rootkit adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components rootkits are programs that hide the existence of malware by intercepting hooking and modifying operating system api calls that supply system information citation: symantec windows rootkits rootkits or rootkit enabling functionality may reside at the user or kernel level in the operating system or lower, to include a hypervisor or system firmware citation: wikipedia rootkit rootkits have been seen for linux macos windows",defense-evasion
"powershell profile adversaries may gain persistence and elevate privileges by executing malicious content triggered by powershell profiles a powershell profile <code>profile ps1< code> is a script that runs when powershell starts and can be used as a logon script to customize user environments powershell supports several profiles depending on the user or host program for example, there can be different profiles for powershell host programs such as the powershel windows",persistence+privilege-escalation
"javascript adversaries may abuse various implementations of javascript for execution javascript js is a platform independent scripting language compiled just in time at runtime commonly associated with scripts in webpages, though js can be executed in runtime environments outside the browser citation: nodejs jscript is the microsoft implementation of the same scripting standard jscript is interpreted via the windows script engine and thus integrated with many components of windows such as the component object model and internet explorer html appli linux macos windows",execution
"modify or spoof tool ui adversaries may spoof or manipulate security tool user interfaces uis to falsely indicate tools are functioning normally and delay detection and response adversaries may present misleading or falsified security tool interfaces uis that display normal or healthy status indicators, even when underlying security tools have been disabled, degraded, or otherwise tampered with security tools typically provide visibility into system health, alerting, and operational status; by misrepresenting this information, adversaries can undermine defender trust in these signals and obscure the true secu linux macos windows",defense-evasion
"dns adversaries may gather information about the victim's dns that can be used during targeting dns information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts dns mx, txt, and spf records may also reveal the use of third party cloud and saas providers, such as office 365, g suite, salesforce, or zendesk citation: sean metcalf twitter dns records adversaries may gather this information in various ways, such as querying or otherwise collecting details via dns passive dns ht pre",reconnaissance
"lifecycle triggered deletion adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within cloud storage buckets often allow users to set lifecycle policies to automate the migration, archival, or deletion of objects after a set period of time citation: aws storage lifecycles citation: gcp storage lifecycles citation: azure storage lifecycles if a threat actor has sufficient permissions to modify these policies, they may be able to delete all objects at once for example, in aws environments, an adversary with the permission may use the ` iaas",impact
"audio capture an adversary can leverage a computer's peripheral devices e g , microphones and webcams or applications e g , voice and video call services to capture audio recordings for the purpose of listening into sensitive conversations to gather information citation: eset attor oct 2019 malware or scripts may be used to interact with the devices through an available api provided by the operating system or an application to capture audio audio files may be written to disk and exfiltrated later linux macos windows",collection
"create or modify system process adversaries may create or modify system level processes to repeatedly execute malicious payloads as part of persistence when operating systems boot up, they can start processes that perform background system functions on windows and linux, these system processes are referred to as services citation: technet services on macos, launchd processes known as launch daemon and launch agent are run to finish system initialization and load user specific parameters citation: appledocs launch agent daem containers linux macos windows",persistence+privilege-escalation
"external remote services adversaries may leverage external facing remote services to initially access and or persist within a network remote services such as vpns, citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations there are often remote service gateways that manage connections and credential authentication for these services services such as windows remote management and vnc can also be used externally citation: macos vnc software for remote des containers linux macos windows",initial-access+persistence
lc load dylib addition adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries mach o binaries have a series of headers that are used to perform certain operations when a binary is loaded the lc load dylib header in a mach o binary tells macos and os x which dynamic libraries dylibs to load during execution time these can be added ad hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies citation: writing bad malware for osx there are tools available to perform these changes adversaries may modify mach macos,persistence+privilege-escalation
"steal web session cookie an adversary may steal web application or service session cookies and use them to gain access to web applications or internet services as an authenticated user without needing credentials web applications and services often use session cookies as an authentication token after a user has authenticated to a website cookies are often valid for an extended period of time, even if the web application is not actively used cookies can be found on disk, in the process memory of the browser, and in network traffic to remote systems additionally, other applications on the targets machine might stor linux macos office suite saas windows",credential-access
"container orchestration job adversaries may abuse task scheduling functionality provided by container orchestration tools such as kubernetes to schedule deployment of containers configured to execute malicious code container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a linux system deployments of this type can also be configured to maintain a quantity of containers over time, automating the process of maintaining persistence within a cluster in kubernetes, a cronjob may be used to schedule a job that runs one or more containers to perform specific tasks citation containers",execution+persistence+privilege-escalation
"domain generation algorithms adversaries may make use of domain generation algorithms dgas to dynamically identify a destination domain for command and control traffic rather than relying on a list of static ip addresses or domains this has the advantage of making it much harder for defenders to block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions citation: cybereason dissecting dgas citation: cisco umbrella dga citation: unit 42 dga feb 2019 dgas can take the form of apparently random or “gibberish” strings ex: istg esxi linux macos windows",command-and-control
"double file extension adversaries may abuse a double extension in the filename as a means of masquerading the true file type a file name may include a secondary file type extension that may cause only the first extension to be displayed ex: <code>file txt exe< code> may render in some views as just <code>file txt< code> however, the second extension is the true file type that determines how the file is opened and executed the real file extension may be hidden by the operating system in the file browser ex: explorer exe , as well as in any software configured using or similar to the system’s policies citation windows",defense-evasion
"bypass user account control adversaries may bypass uac mechanisms to elevate process privileges on system windows user account control uac allows a program to elevate its privileges tracked as integrity levels ranging from low to high to perform a task under administrator level permissions, possibly by prompting the user for confirmation the impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action citation windows",privilege-escalation
"sms pumping adversaries may leverage messaging services for sms pumping, which may impact system and or hosted service availability citation: twilio sms pumping sms pumping is a type of telecommunications fraud whereby a threat actor first obtains a set of phone numbers from a telecommunications provider, then leverages a victim’s messaging infrastructure to send large amounts of sms messages to numbers in that set by generating sms traffic to their phone number set, a threat actor may earn payments from the telecommunications provider citation: twilio sms pumping fraud threat actors often use publi saas",impact
"internet connection discovery adversaries may check for internet connectivity on compromised systems this may be performed during automated discovery and can be accomplished in numerous ways such as using ping <code>tracert< code>, and get requests to websites, or performing initial speed testing to confirm bandwidth adversaries may use the results and responses from these requests to determine if the system is capable of communicating with their c2 servers before attempting to connect to them the results may also be used to identify routes, redirectors, and proxy servers windows linux macos esxi",discovery
"sudo and sudo caching adversaries may perform sudo caching and or use the sudoers file to elevate privileges adversaries may do this to execute commands as other users or spawn processes with higher privileges within linux and macos systems, sudo sometimes referred to as ""superuser do"" allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system the <code>sudo< code> command ""allows a system administrator to delegate authority to give certain users or groups of users the ability to run some or all commands as root or another user whil linux macos",privilege-escalation
"disable or modify windows event log adversaries may disable or modify the windows event log to limit data that can be leveraged for detections and audits windows event log records user and system activity such as login attempts and process creation citation: eventlog core technologies this data is used by security tools and analysts to generate detections the eventlog service maintains event logs from various system components and applications by default, the service automatically starts when a system powers on an audit policy, maintained by the local security policy secpol msc , defines which system events the eventlog windows",defense-evasion
"query public ai services adversaries may query publicly accessible artificial intelligence ai services, such as large language models llms , to support targeting and operations in addition to searching websites or databases directly i e , search open websites domains adversaries may use ai services to synthesize, aggregate, and analyze publicly available information at scale this may include identifying individuals or organizations to target, researching organizational structures and personnel, identifying technologies used by target organizations, researching busin pre",reconnaissance
"archive via custom method an adversary may compress or encrypt data that is collected prior to exfiltration using a custom method adversaries may choose to use custom archival methods, such as encryption with xor or stream ciphers implemented with no external library or utility references custom implementations of well known compression algorithms have also been used citation: eset sednit part 2 linux macos windows",collection
"modify cloud compute infrastructure an adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses a modification to the compute service infrastructure can include the creation, deletion, or modification of one or more components such as compute instances, virtual machines, and snapshots permissions gained from the modification of infrastructure components may bypass restrictions that prevent access to existing infrastructure modifying infrastructure components may also allow an adversary to evade detection and remove evidence of their presence citation: mandiant m trends 2020 iaas",defense-evasion
"network devices adversaries may compromise third party network devices that can be used during targeting network devices, such as small office home office soho routers, may be compromised where the adversary's ultimate goal is not initial access to that environment, but rather to leverage these devices to support additional targeting once an adversary has control, compromised network devices can be used to launch additional operations, such as hosting payloads for phishing campaigns i e , link target pre",resource-development
"malvertising adversaries may purchase online advertisements that can be abused to distribute malware to victims ads can be purchased to plant as well as favorably position artifacts in specific locations online, such as prominently placed within search engine results these ads may make it more difficult for users to distinguish between actual search results and advertisements citation: spamhaus malvertising purchased ads may also target specific audiences using the advertising network’s capabilities, potentially further taking advantage of the trust inherently given to search engines and popular websi pre",resource-development
"permission groups discovery adversaries may attempt to discover group and permission settings this information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions adversaries may attempt to discover group permission settings in many different ways this data may provide the adversary with information about the compromised environment that can be used in follow on activity and targeting citation: crowdstrike bloodhound april 2018 containers iaas identity provider linux macos office suite saas windows",discovery
"email collection adversaries may target user email to collect sensitive information emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries emails may also contain details of ongoing incident response operations, which may allow adversaries to adjust their techniques in order to maintain persistence or evade defenses citation: trustedsec oob communications citation: cisa aa20 352a 2021 adversaries can collect or forward email from mail servers or clients windows macos linux office suite",collection
"security account manager adversaries may attempt to extract credential material from the security account manager sam database either through in memory techniques or through the windows registry where the sam database is stored the sam is a database file that contains local accounts for the host, typically those found with the <code>net user< code> command enumerating the sam database requires system level access a number of tools can be used to retrieve the sam file through in memory techniques: * pwdumpx exe * gsecdump * mimikatz windows",credential-access
"whois adversaries may search public whois data for information about victims that can be used during targeting whois data is stored by regional internet registries rir responsible for allocating and assigning internet resources such as domain names anyone can query whois servers for information about a registered domain, such as assigned ip blocks, contact information, and dns nameservers citation: whois adversaries may search whois data to gather actionable information threat actors can use online resources or command line utilities to pillage through whois data for information about potent pre",reconnaissance
system firmware adversaries may modify system firmware to persist on systems the bios basic input output system and the unified extensible firmware interface uefi or extensible firmware interface efi are examples of system firmware that operate as the software interface between the operating system and hardware of a computer citation: wikipedia bios citation: wikipedia uefi citation: about uefi system firmware like bios and u efi underly the functionality of a computer and may be modified by an adversary to perform or assist in malicious activity capabilities exist to overwrite the system firmwar network devices windows,defense-evasion+persistence
"search victim owned websites adversaries may search websites owned by the victim for information that can be used during targeting victim owned websites may contain a variety of details, including names of departments divisions, physical locations, and data about key employees such as names, roles, and contact info ex: email addresses these sites may also have details highlighting business operations and relationships citation: comparitech leak adversaries may search victim owned websites to gather actionable information information from these sources may reveal opp pre",reconnaissance
"cloud groups adversaries may attempt to find cloud groups and permission settings the knowledge of cloud permission groups can help adversaries determine the particular roles of users and groups within an environment, as well as which users are associated with a particular group with authenticated access there are several tools that can be used to find permissions groups the <code>get msolrole< code> powershell cmdlet can be used to obtain roles and permissions groups for exchange and office 365 accounts citation: microsoft msolrole citation: github raindance azure cli az cli and the google clou saas iaas office suite identity provider",discovery
